name,chunk_id,paper_id,context,measurement,value,units
tropical forests,5,0,"The main carbon pools in tropical forest ecosystems are the living biomass of trees and understory vegetation and the dead mass of litter, woody debris and soil organic matter. The carbon stored in the aboveground living biomass of trees is typically the largest pool and the most directly impacted by deforestation and degradation. Thus, estimating aboveground forest biomass carbon is the most critical step in quantifying carbon stocks and fluxes from tropical forests, and the focus of this paper. Measurement protocols for other carbon pools are described elsewhere (e.g. Post et al 1999, Brown and Masera 2003, Pearson et al 2005a, IPCC 2006).",carbon_sequestration,None,Mt C a^-1
Surinam,52,0,<tr><td>Sri Lanka</td><td>302</td><td>509</td><td>296</td><td>400</td><td>138</td><td>138–509</td></tr>  <tr><td>Surinam</td><td>1793</td><td>2753</td><td>2330</td><td>663</td><td>—</td><td>663–2753</td></tr>  <tr><td>Tanzania</td><td>2716</td><td>2221</td><td>3400</td><td>2409</td><td>1281</td><td>1281–3400</td></tr>  <tr><td>Thailand</td><td>1346</td><td>2489</td><td>2215</td><td>1923</td><td>2104</td><td>1346–2489</td></tr>,carbon_sequestration,663,Mt C a^-1
Whittaker and Likens 1973,17,0,"of analyses. Often, ‘best guesses’ are employed as multiple biome averages are combined or modified (e.g. Houghton 1999, Houghton et al 2001, Fearnside 2000, Watson et al 2000, IPCC 2006).Biome averages are based on two main sources of information: compilations of whole-tree harvest measurement data and analysis of forest inventory data archived by the United Nations Food and Agricultural Organization (FAO) and others.• Compilations of point-based biomass harvest measurement data provide direct estimates of the actual forest volume or biomass at a particular site (e.g. Whittaker and Likens 1973, Olson et al 1983, Reichle 1981, Brown and Lugo 1984). While highly accurate for specific locations, these data were collected to describe only very local conditions and cover a tiny portion of total forest area (Brown 1997). Consequently, these compilations could be highly biased (depending on where the individual point measurements are made), and provide only rough approximations of forest carbon stocks over larger spatial scales.",carbon_sequestration,None,Mt C a^-1
Stephens B S et al 2007 Weak Northern and strong tropical land carbon uptake from vertical profiles of atmospheric CO$_2$ Science 316 1732–5,94,0,"Saatchi S S, Houghton R A, Dos Santos Alvala R C, Soares J V and Yu Y 2007 Distribution of aboveground live biomass in the Amazon Basin Glob. Change Biol. 13 816–37Sales M H, Souza C M Jr, Kyriakidis P C, Roberts D A and Vidal E 2007 Improving spatial distribution estimation of forest biomass with geostatistics: a case study for Rondonia, Brazil Ecol. Modelling 205 221–30Santilli M, Mouthino P, Schwartzman S, Nepstad D, Curran L and Nobre C 2005 Tropical deforestation and the Kyoto protocol Clim. Change 71 267–76Shimada M, Rosenqvist A, Watanabe M and Tadono T 2005 The polarimetric and interferometric potential of ALOS PALSAR Proc. POLInSAR 2005 (January 2005)Stephens B S et al 2007 Weak Northern and strong tropical land carbon uptake from vertical profiles of atmospheric CO$_2$ Science 316 1732–5",carbon_sequestration,1732,Mt C a^-1
Houghton 2005,69,0,"A major advantage of the forest strata approach is that carbon stock estimates could be applied to estimate emissions in the past, present and future, which is important for reference scenarios. Forest conditions will change over time, but the carbon estimates can still be applied as long as the forest classification reflects these changing conditions. A limitation of this approach is that forest carbon stocks for a particular area may be overestimated or underestimated if the forests in question differ from the average forest strata values (Houghton et al 2001, Houghton 2005).7. Accounting for forest degradation and condition",carbon_sequestration,None,Mt C a^-1
Brazil,86,0,"Houghton R A and Hackler J L 2001 Carbon Flux to the Atmosphere from Land-Use Changes: 1850 to 1990 ORNL/CDIAC-131, NDP-050/R1 http://cdiac.esd.ornl.gov/ndps/ndp050.htmlCarbon Dioxide Information Analysis Center, US Department of Energy, Oak Ridge National Laboratory, Oak Ridge, TN, p 86Houghton R A, Lawrence K T, Hackler J L and Brown S 2001 The spatial distribution of forest biomass in the Brazilian Amazon: a comparison of estimates Glob. Change Biol. 7 731–46Houghton R A, Lefkowitz D S and Skole D L 1991 Changes in the landscape of Latin America between 1850–1980 (I). A progressive loss of forest Forest Ecol. Manag. 38 143–72IPCC 2006 IPCC Guidelines for National Greenhouse Gas Inventories. Prepared by the National Greenhouse Gas Inventories Programme ed H S Eggleston, L Buendia, K Miwa, T Ngara and K Tanabe (Japan: Institute For Global Environmental Strategies)",carbon_sequestration,731,Mt C a^-1
Brown (1997),30,0,"a Table modified from Ramankutty et al (2007). Estimates of forest carbon stocks (t C/ha) are based on different biome-average datasets and most have slight modifications. All values are for above- and belowground forest biomass carbon. Olson et al (1983) was excluded from this table because he provides only a single value for all tropical forests (120 t C/ha) and for dry forest/woodland (60 t C/ha).b Houghton (1999)/DeFries et al (2002) and IPCC (2006) distinguished forest types within each region, whereas Brown (1997)/Achard et al (2004) distinguished only by region and not by forest type.",carbon_sequestration,None,Mt C a^-1
Baccini et al 2004,61,0,"Forest carbon stocks can also be evaluated using remote-sensing instruments mounted on satellites or airborne platforms, but substantial refinements are needed before routine assessments can be made at national or regional scales (Baccini et al 2004, DeFries et al 2007). No remote-sensing instrument can measure forest carbon stocks directly, and thus require additional ground-based data collection (Rosenqvist et al 2003a, Drake et al 2003). A major benefit of a satellite-based approach is the potential to provide ‘wall-to-wall’ observation of carbon stock proxies. Airplane-based sensors cover relatively small areas so the cost would likely be prohibitive for wall-to-wall coverage for larger countries, but a sampling approach could be used to estimate forest carbon stocks across a country (e.g. Drake et al 2003).",carbon_sequestration,None,Mt C a^-1
forest carbon,4,0,"Political acceptance and implementation of climate policies aimed at reducing carbon emissions from deforestation will require resolution of scientific challenges. Foremost among these challenges is identifying feasible approaches to assess national-level carbon emissions from deforestation and degradation in developing countries. To estimate emissions, we need to know the area of cleared forest and the amount of carbon that was stored in those forests. Methods to assess tropical deforestation are described elsewhere (DeFries et al 2005, 2007, Herold and Johns 2007, Olander et al 2007, Achard et al 2007). The purpose of this paper is to synthesize options to estimate national-level forest biomass carbon stocks in developing countries and propose methods to link forest carbon and deforestation estimates. Here we compile, update and map prominent forest biomass carbon databases to create the first complete set of national-level estimates.2. Overview of forest carbon stock measurements",carbon_sequestration,None,Mt C a^-1
"Keller M, Palace M and Hurt G 2001 Biomass estimation in the Tapajos National Forest, Brazil: examination of sampling and allometric uncertainties Forest Ecol. Manag. 154 371–82",87,0,"Iverson L, Brown S, Prasad A, Mitasova H, Gillespie A J R and Lugo A E 1994 Use of GIS for estimating potential and actual forest biomass for continental South and Southeast Asia Effects of Land-Use Change on Atmospheric CO2 Concentrations: South and Southeast Asia as a Case Study ed V Dale (New York: Springer) pp 67–116Keller M, Palace M and Hurt G 2001 Biomass estimation in the Tapajos National Forest, Brazil: examination of sampling and allometric uncertainties Forest Ecol. Manag. 154 371–82Kellndorfer J, Walker W, Pierce L, Dobson C, Fites J A, Hunsaker C, Vona J and Clutter M 2004 Vegetation height estimation from shuttle radar topography mission and national elevation datasets Remote Sens. Environ. 93 339–58",carbon_sequestration,371,Mt C a^-1
drainage class,19,0,"Biomes likely represent the most important variation of forest carbon stocks because they account for major bioclimatic gradients such as temperature, precipitation and geologic substrate. However, forest carbon stocks vary further within each biome according to slope, elevation, drainage class, soil type and land-use history. An average value cannot adequately represent the variation for an entire forest category or country. Estimates of emissions from deforestation could be biased if the forests that are cleared have carbon stocks that systematically differ from the biome-average values (Houghton et al 2001, Houghton 2005). Further, the compilations of studies used to develop the biome averages generally focused on mature stands and were based on a few plots that may not adequately represent the biome or region. Use of biome averages is further constrained because it is very difficult to assess the uncertainty or accuracy of source data.",carbon_sequestration,None,Mt C a^-1
mature stands,19,0,"Biomes likely represent the most important variation of forest carbon stocks because they account for major bioclimatic gradients such as temperature, precipitation and geologic substrate. However, forest carbon stocks vary further within each biome according to slope, elevation, drainage class, soil type and land-use history. An average value cannot adequately represent the variation for an entire forest category or country. Estimates of emissions from deforestation could be biased if the forests that are cleared have carbon stocks that systematically differ from the biome-average values (Houghton et al 2001, Houghton 2005). Further, the compilations of studies used to develop the biome averages generally focused on mature stands and were based on a few plots that may not adequately represent the biome or region. Use of biome averages is further constrained because it is very difficult to assess the uncertainty or accuracy of source data.",carbon_sequestration,None,Mt C a^-1
carbon stocks,1,0,"**Abstract**Reducing carbon emissions from deforestation and degradation in developing countries is of central importance in efforts to combat climate change. Key scientific challenges must be addressed to prevent any policy roadblocks. Foremost among the challenges is quantifying nations’ carbon emissions from deforestation and forest degradation, which requires information on forest clearing and carbon storage. Here we review a range of methods available to estimate national-level forest carbon stocks in developing countries. While there are no practical methods to directly measure all forest carbon stocks across a country, both ground-based and remote-sensing measurements of forest attributes can be converted into estimates of national carbon stocks using allometric relationships. Here we synthesize, map and update prominent forest biomass carbon databases to create the first complete set of national-level forest carbon stock estimates. These forest carbon estimates expand on the default values recommended by the Intergovernmental Panel on Climate Change’s National Greenhouse Gas Inventory Guidelines and provide a range of globally consistent estimates.**Keywords:** deforestation, tropical forests, forest biomass, carbon stocks, emissions, forest inventory, UNFCCC, REDD, LULUCF, avoided deforestation**1. Introduction**",carbon_sequestration,None,Mt C a^-1
Tropical seasonal forest,28,0,<td>—</td>    <td>38</td>    <td>152</td>  </tr>  <tr>    <td>Tropical seasonal forest</td>    <td>—</td>    <td>—</td>    <td>17</td>    <td>72</td>  </tr>  <tr>    <td>Tropical dry forest</td>    <td>—</td>    <td>—</td>    <td>—</td>    <td>—</td>  </tr>  <tr>    <td>Closed forest</td>    <td>136</td>    <td>—</td>    <td>—</td>    <td>—</td>  </tr>  <tr>    <td>Open forest</td>    <td>30</td>    <td>36</td>    <td>—</td>    <td>—</td>,carbon_sequestration,17,Mt C a^-1
"Ajtay G K, Ketner P and Duvigneaud P (1979) Terrestrial primary production and phytomass The global carbon cycle ed B Bolin, E T Degens, S Kempe and P Ketner (New York: Wiley) pp 129–82",76,0,"Ajtay G K, Ketner P and Duvigneaud P 1979 Terrestrial primary production and phytomass The global carbon cycle ed B Bolin, E T Degens, S Kempe and P Ketner (New York: Wiley) pp 129–82Asner G P 2001 Cloud cover in Landsat observations of the Brazilian Amazon Int. J. Remote Sens. 22 3855–62Asner G P et al 2005 Selective logging in the Brazilian Amazon Science 310 480–2Baccini A, Friedl A M A, Woodcock C E and Warbington R 2004 Forest biomass estimation over regional scales using multisource data Geophys. Res. Lett. 31 L10501Brown S 1997 Estimating biomass and biomass change of tropical forests: a primer FAO Forestry Paper no. 134 RomeBrown S 2002 Measuring carbon in forests: current status and future challenges Environ. Pollut. 116 363–72",carbon_sequestration,None,Mt C a^-1
Vegetation canopy LiDAR (VCL),15,0,</ul>    </td>    <td>      <ul>        <li>Less accurate in complex canopies of mature forests because signal saturates</li>        <li>Mountainous terrain also increases errors</li>        <li>Can be expensive and technically demanding</li>      </ul>    </td>    <td>Medium</td>  </tr>  <tr>    <td>Laser remote sensors</td>    <td>      <ul>        <li>LiDAR uses laser light to estimates forest height/vertical structure</li>        <li>Ex: Carbon 3-D satellite system combines Vegetation canopy LiDAR (VCL) with horizontal imager</li>      </ul>    </td>    <td>      <ul>        <li>Accurately estimates full spatial variability of forest carbon stocks</li>        <li>Potential for satellite-based system to estimate global forest carbon stocks</li>      </ul>    </td>    <td>      <ul>,carbon_sequestration,None,Mt C a^-1
"Pearson T, Walker S and Brown S 2005a Sourcebook for land use, land-use change and forestry projects Winrock International and the BioCarbon Fund of the World Bank p 57",92,0,"Pearson T, Brown S, Petrova S, Moore N and Slaymaker D 2005b Application of multispectral three-dimensional aerial digital imagery for estimating carbon stocks in a closed tropical forest Report to The Nature Conservancy Winrock InternationalPearson T, Walker S and Brown S 2005a Sourcebook for land use, land-use change and forestry projects Winrock International and the BioCarbon Fund of the World Bank p 57Penman J et al 2003 Good practice guidance for land use, land-use change and forestry IPCC National Greenhouse Gas Inventories Programme and Institute for Global Environmental Strategies, Kanagawa, Japan available at: http://www.ipcc-nggip.iges.or.jp/public/gpglulucf/gpglulucf.htmPost W M, Izaurralde R C, Mann L K and Bliss N 1999 Monitoring and verification of soil organic carbon sequestration Proc. Symp. Carbon Sequestration in Soils Science, Monitoring and Beyond (December) ed N J Rosenberg, R C Izaurralde and E L Malone (Columbus, OH: Batelle Press) p 41",carbon_sequestration,57,Mt C a^-1
IPCC (2006),34,0,"Before an allometric relationship can be used, ground-based forest inventory data must be collected using standardized sampling schemes appropriate for a country or forest type. Sampling data from targeted locations saves time by creating a means to infer carbon stocks for an entire forest or forest class while measuring only a fraction of it. It is best to use a sampling design developed specifically for each country<table>  <tr>    <th rowspan=""2"">Country</th>    <th colspan=""3"">Based on compilations of harvest data</th>    <th colspan=""2"">Based on forest inventory</th>    <th rowspan=""2"">Total range</th>  </tr>  <tr>    <th>Olson <i>et al</i> (1983)/Gibbs (2006)<sup>b</sup></th>    <th>Houghton (1999)/DeFries <i>et al</i> (2002)</th>    <th>IPCC (2006)<sup>c</sup></th>",carbon_sequestration,None,Mt C a^-1
Brazil,85,0,"Hirsch A I, Little W S, Houghton R A, Scott N A and White J D 2004 The net carbon flux due to deforestation and forest re-growth in the Brazilian Amazon: analysis using a process-based model Glob. Change Biol. 10 908–24Houghton R A 1999 The annual net flux of carbon to the atmosphere from changes in land use 1850–1990 Tellus B 51 298–13Houghton R A 2005 Tropical deforestation as a source of greenhouse gas emissions Tropical Deforestation and Climate Change ed Mutinho and Schwartzman (Belem: IPAM)Houghton R A and Hackler J L 1995 Continental scale estimates of biotic carbon flux from land cover change: 1850–1980 ORNL/CDIAC-79, NDP-050 (Oak Ridge, TN: Oak Ridge National Laboratory)",carbon_sequestration,908,Mt C a^-1
Brazil,70,0,"Accounting for differences in the forest carbon stocks as a result of degradation (and recovery from clearing) is important for estimating carbon emissions, particularly considering that degraded and regrowing forests are projected to comprise increasingly large portions of the tropics (FAO 2005). In the Brazilian Amazon, the re-clearance rate of secondary forest may rival the clearance rate of primary forest (Hirsch et al 2004) and the area of selectively logged forest is approximately equal to the area deforested (Asner et al 2005). Accurate estimates of carbon stored in secondary, logged or other non-primary forests are needed to estimate emissions from degradation and deforestation as the amount of carbon stored and subsequently emitted to the atmosphere varies greatly depending on forest condition.",carbon_sequestration,None,Mt C a^-1
DeFries et al (2002),34,0,"Before an allometric relationship can be used, ground-based forest inventory data must be collected using standardized sampling schemes appropriate for a country or forest type. Sampling data from targeted locations saves time by creating a means to infer carbon stocks for an entire forest or forest class while measuring only a fraction of it. It is best to use a sampling design developed specifically for each country<table>  <tr>    <th rowspan=""2"">Country</th>    <th colspan=""3"">Based on compilations of harvest data</th>    <th colspan=""2"">Based on forest inventory</th>    <th rowspan=""2"">Total range</th>  </tr>  <tr>    <th>Olson <i>et al</i> (1983)/Gibbs (2006)<sup>b</sup></th>    <th>Houghton (1999)/DeFries <i>et al</i> (2002)</th>    <th>IPCC (2006)<sup>c</sup></th>",carbon_sequestration,None,Mt C a^-1
DeFries et al 2007,68,0,"To estimate carbon emissions it is necessary to know the area deforested and the amount of carbon these forests stored. Deforestation will likely be assessed using remote sensing and ideally the same observations will be used both to estimate deforestation and to design the forest carbon sampling matrix and scheme. If forest carbon stocks are collected according to a stratified sampling design it is important that deforestation is estimated for those same strata either through ‘wall-to-wall’ mapping or by ‘targeting sampling’ using the same stratified sampling scheme (DeFries et al 2005, 2007, Olander et al 2007). The average carbon stock value for each forest strata can be applied to the satellite-based forest map to estimate national-level forest carbon stocks or to a map of deforestation to estimate national-level forest emissions. Changes in carbon stocks and emissions could be monitored from satellite-based observations of deforestation once the broad spatial distribution of carbon stocks is well established (assuming deforestation and carbon assessments are compatible).",carbon_sequestration,None,Mt C a^-1
"Delaney M, Brown S, Lugo A E, Torres-Lezama A and Bello Quintero N 1998 The quantity and turnover of dead wood in permanent forest plots in six life zones of Venezuela Biotropica 30 2–11",80,0,"DeFries R S, Asner G, Achard F, Justice C, Laporte N, Price K, Small C and Townshend J 2005 Monitoring tropical deforestation for emerging carbon markets Tropical Deforestation and Climate Change ed P Moutino and S Schwartzman (Belem: IPAM and Environmental Defense) pp 35–44DeFries R S, Houghton R A, Hansen M C, Field C B, Skole D and Townshend J 2002 Carbon emissions from tropical deforestation and regrowth based on satellite observations for the 1980s and 1990s Proc. Natl Acad. Sci. USA 99 14256–61Delaney M, Brown S, Lugo A E, Torres-Lezama A and Bello Quintero N 1998 The quantity and turnover of dead wood in permanent forest plots in six life zones of Venezuela Biotropica 30 2–11Drake J B et al 2003 Above-ground biomass estimation in closed-canopy neotropical forests using lidar remote sensing: factors affecting the generality of relationships Glob. Ecol. Biogeogr. 12 147–59",carbon_sequestration,2,Mt C a^-1
Keller et al 2001,24,0,"Generalized allometric equations also have the major advantage of being based on larger numbers of trees that span a wider range of diameters (Brown 1997, Chave et al 2005). An extensive review of allometric equations concluded that the pan-tropic models were ‘the best available’ way to estimate forest biomass and recommended them over local allometric models that may be based on less than 100 destructively sampled trees (Chave et al 2004). Chave et al (2005) developed generalized allometric equations for the pan-tropics based on an exceptionally large dataset of 2410 trees that can be used to accurately estimate forest carbon stocks across a wide range of forest types.The effort required to develop species- or location-specific relationships will not typically improve accuracy (Chambers et al 2001, Keller et al 2001, Chave et al 2005) but occasionally a localized relationship is warranted, as generalized equationsTable 2. Biome-average tropical forest biomass carbon stock estimates (t C/ha)a.",carbon_sequestration,None,Mt C a^-1
Tropical equatorial forest,29,0,</tr>  <tr>    <td>Tropical Asia</td>    <td></td>    <td>151</td>    <td>—</td>    <td>—</td>  </tr>  <tr>    <td>All forests</td>    <td>—</td>    <td>—</td>    <td>164</td>    <td>180 / 225g</td>  </tr>  <tr>    <td>Tropical equatorial forest</td>    <td>250</td>    <td>—</td>    <td>142</td>    <td>105 / 169</td>  </tr>  <tr>    <td>Tropical seasonal forest</td>    <td>150</td>    <td>—</td>    <td>120</td>    <td>78 / 96</td>  </tr></table>,carbon_sequestration,142,Mt C a^-1
"DeFries R S, Asner G, Achard F, Justice C, Laporte N, Price K, Small C and Townshend J 2005 Monitoring tropical deforestation for emerging carbon markets Tropical Deforestation and Climate Change ed P Moutino and S Schwartzman (Belem: IPAM and Environmental Defense) pp 35–44",80,0,"DeFries R S, Asner G, Achard F, Justice C, Laporte N, Price K, Small C and Townshend J 2005 Monitoring tropical deforestation for emerging carbon markets Tropical Deforestation and Climate Change ed P Moutino and S Schwartzman (Belem: IPAM and Environmental Defense) pp 35–44DeFries R S, Houghton R A, Hansen M C, Field C B, Skole D and Townshend J 2002 Carbon emissions from tropical deforestation and regrowth based on satellite observations for the 1980s and 1990s Proc. Natl Acad. Sci. USA 99 14256–61Delaney M, Brown S, Lugo A E, Torres-Lezama A and Bello Quintero N 1998 The quantity and turnover of dead wood in permanent forest plots in six life zones of Venezuela Biotropica 30 2–11Drake J B et al 2003 Above-ground biomass estimation in closed-canopy neotropical forests using lidar remote sensing: factors affecting the generality of relationships Glob. Ecol. Biogeogr. 12 147–59",carbon_sequestration,None,Mt C a^-1
"Pearson T, Brown S, Petrova S, Moore N and Slaymaker D 2005b Application of multispectral three-dimensional aerial digital imagery for estimating carbon stocks in a closed tropical forest Report to The Nature Conservancy Winrock International",92,0,"Pearson T, Brown S, Petrova S, Moore N and Slaymaker D 2005b Application of multispectral three-dimensional aerial digital imagery for estimating carbon stocks in a closed tropical forest Report to The Nature Conservancy Winrock InternationalPearson T, Walker S and Brown S 2005a Sourcebook for land use, land-use change and forestry projects Winrock International and the BioCarbon Fund of the World Bank p 57Penman J et al 2003 Good practice guidance for land use, land-use change and forestry IPCC National Greenhouse Gas Inventories Programme and Institute for Global Environmental Strategies, Kanagawa, Japan available at: http://www.ipcc-nggip.iges.or.jp/public/gpglulucf/gpglulucf.htmPost W M, Izaurralde R C, Mann L K and Bliss N 1999 Monitoring and verification of soil organic carbon sequestration Proc. Symp. Carbon Sequestration in Soils Science, Monitoring and Beyond (December) ed N J Rosenberg, R C Izaurralde and E L Malone (Columbus, OH: Batelle Press) p 41",carbon_sequestration,41,Mt C a^-1
