title,author,year,chunk_id,context,name,date,location,ecosystem,measurement,value,context_score,parametric_score,units,validation_status
contribution of donana wetlands to carbon sequestration,morris et al,2013,623,"## Spatio-temporal variation in dissolved CO2


Dissolved carbon dioxide partial pressure ( p CO2water ) ranged between 5 and 10980 m atm and was significantly different between sites (Kruskal-Wallis rank sum test, x 2 (10) ~ 28 : 51 , p v 0 : 01 ) (Table 2). Median p CO2water was higher in the temporal wetland site M9 (6322 m atm ) compared to the Veta La Palma site M3 (115 m atm) (KWMC, p , 0.05).



p CO2water values at site M3 were below p CO2air (380 m atm ) throughout the year, except for a single value of 825 m atm observed in March 2010 (Fig. 4). p CO2water values 4 times higher than p CO2air were also observed at site M1 in March, however not at the other nearby water bodies, M2 and M4, where high values were observed just before and after the drying out phase.



Within the National Park, seasonal p CO2water dynamics in the semi-permanent water bodies, sites M5, M6, M7 and M8 were relatively similar. All sites had very low values in early spring 2010



(about 100 atm ) and a maximum (10983, 3843, 3975 and 5842 m atm at sites M5, M6, M7 and M8, respectively) in late springearly summer. Water levels in M5 were too low for sampling in September, however in sites M6, M7 and M8 p CO2water reached a seasonal minimum in autumn of 42, 59 and 5 m atm , respectively. In site M8 p CO2 values were so low in Sept. and Oct. that p CO2water was almost completely depleted. All sites returned to a state of super-saturation with respect to atmospheric equilibrium in late winter.",M6,autumn,National Park,lake,max_depth,10983,66.72522735595703,2.7542977333068848,m,mis-interpretation
contribution of donana wetlands to carbon sequestration,morris et al,2013,623,"## Spatio-temporal variation in dissolved CO2


Dissolved carbon dioxide partial pressure ( p CO2water ) ranged between 5 and 10980 m atm and was significantly different between sites (Kruskal-Wallis rank sum test, x 2 (10) ~ 28 : 51 , p v 0 : 01 ) (Table 2). Median p CO2water was higher in the temporal wetland site M9 (6322 m atm ) compared to the Veta La Palma site M3 (115 m atm) (KWMC, p , 0.05).



p CO2water values at site M3 were below p CO2air (380 m atm ) throughout the year, except for a single value of 825 m atm observed in March 2010 (Fig. 4). p CO2water values 4 times higher than p CO2air were also observed at site M1 in March, however not at the other nearby water bodies, M2 and M4, where high values were observed just before and after the drying out phase.



Within the National Park, seasonal p CO2water dynamics in the semi-permanent water bodies, sites M5, M6, M7 and M8 were relatively similar. All sites had very low values in early spring 2010



(about 100 atm ) and a maximum (10983, 3843, 3975 and 5842 m atm at sites M5, M6, M7 and M8, respectively) in late springearly summer. Water levels in M5 were too low for sampling in September, however in sites M6, M7 and M8 p CO2water reached a seasonal minimum in autumn of 42, 59 and 5 m atm , respectively. In site M8 p CO2 values were so low in Sept. and Oct. that p CO2water was almost completely depleted. All sites returned to a state of super-saturation with respect to atmospheric equilibrium in late winter.",M7,autumn,National Park,lake,max_depth,3975,65.44398498535156,2.7221076488494877,m,mis-interpretation
biodiversity of constructed wetlands for wastewater treatment,hsu,2011,251,"## Table 7 Variables that significantly (Monte Carlo permutation tests, p < 0.1) explained the community structures of birds, fishes, and aquatic macroinvertebrates in the constructed wetlands. Variables that best explain the variance in biotic community structure are ranked first, while the remaining variables are ranked on the basis of the additional fit based on model selection.

| Selected variables                        | F-value | p-value | Variance explained | Correlation |
|------------------------------------------|---------|---------|--------------------|-------------|
|                                          |         |         |                    | Axis 1      | Axis 2    |
| Birds                                    |         |         |                    |             |           |
| Water temperature                        | 3.82    | 0.001   | 0.18               | -0.68       | -0.09     |
| pH                                       | 2.71    | 0.001   | 0.13               | -0.30       | 0.30      |
| Species richness of fish                 | 2.69    | 0.001   | 0.12               | -0.33       | -0.02     |
| Wetland area                             | 2.28    | 0.002   | 0.10               | -0.37       | 0.30      |
| Species richness of aquatic macrophytes  | 2.58    | 0.001   | 0.12               | -0.23       | -0.48     |
| Total phosphorus                         | 1.98    | 0.001   | 0.08               | 0.13        | 0.06      |
| Suspended solids                         | 1.64    | 0.032   | 0.07               | -0.29       | 0.32      |
| Phytoplankton chlorophyll a             | 1.61    | 0.034   | 0.07               | -0.34       | 0.19      |
| Density of aquatic macroinvertebrates    | 1.65    | 0.014   | 0.07               | 0.11        | -0.16     |
| Fish abundance                           | 1.53    | 0.058   | 0.07               | -0.27       | -0.02     |
| Fishes                                   |         |         |                    |             |           |
| Wetland area                             | 6.24    | 0.002   | 0.11               | -0.35       | -0.38     |
| $H'$ of aquatic macrophytes              | 8.51    | 0.001   | 0.13               | 0.41        | -0.02     |
| Dissolved oxygen                         | 4.45    | 0.07    | 0.06               | 0.10        | -0.42     |
| Suspended solids                         | 3.87    | 0.023   | 0.05               | -0.22       | 0.14      |
| Total phosphorus                         | 2.44    | 0.072   | 0.04               | 0.32        | -0.05     |
| Chemical oxygen demand                   | 3.80    | 0.026   | 0.04               | -0.07       | 0.08      |
| Density of aquatic macroinvertebrates    | 2.64    | 0.067   | 0.03               | 0.22        | 0.49      |
| Aquatic macroinvertebrates               |         |         |                    |             |           |
| Species richness of fish                 | 7.03    | 0.001   | 0.07               | -0.43       | -0.39     |
| Cover of aquatic macrophytes             | 5.87    | 0.001   | 0.05               | -0.32       | 0.42      |
| Conductivity                             | 3.39    | 0.002   | 0.03               | 0.44        | -0.04     |
| Water temperature                        | 2.78    | 0.006   | 0.03               | -0.29       | 0.08      |
| pH                                       | 2.12    | 0.034   | 0.01               | -0.03       | -0.04     |
| Dissolved oxygen                         | 1.87    | 0.047   | 0.02               | -0.38       | -0.18     |
| Species richness of aquatic macrophytes  | 1.86    | 0.038   | 0.02               | -0.17       | -0.01     |",wetlands,,,wetland,vegetation_cover,0 of aquatic macrophytes,168.0419921875,6.547745704650879,%,hallucination
biodiversity of constructed wetlands for wastewater treatment,hsu,2011,251,"## Table 7 Variables that significantly (Monte Carlo permutation tests, p < 0.1) explained the community structures of birds, fishes, and aquatic macroinvertebrates in the constructed wetlands. Variables that best explain the variance in biotic community structure are ranked first, while the remaining variables are ranked on the basis of the additional fit based on model selection.

| Selected variables                        | F-value | p-value | Variance explained | Correlation |
|------------------------------------------|---------|---------|--------------------|-------------|
|                                          |         |         |                    | Axis 1      | Axis 2    |
| Birds                                    |         |         |                    |             |           |
| Water temperature                        | 3.82    | 0.001   | 0.18               | -0.68       | -0.09     |
| pH                                       | 2.71    | 0.001   | 0.13               | -0.30       | 0.30      |
| Species richness of fish                 | 2.69    | 0.001   | 0.12               | -0.33       | -0.02     |
| Wetland area                             | 2.28    | 0.002   | 0.10               | -0.37       | 0.30      |
| Species richness of aquatic macrophytes  | 2.58    | 0.001   | 0.12               | -0.23       | -0.48     |
| Total phosphorus                         | 1.98    | 0.001   | 0.08               | 0.13        | 0.06      |
| Suspended solids                         | 1.64    | 0.032   | 0.07               | -0.29       | 0.32      |
| Phytoplankton chlorophyll a             | 1.61    | 0.034   | 0.07               | -0.34       | 0.19      |
| Density of aquatic macroinvertebrates    | 1.65    | 0.014   | 0.07               | 0.11        | -0.16     |
| Fish abundance                           | 1.53    | 0.058   | 0.07               | -0.27       | -0.02     |
| Fishes                                   |         |         |                    |             |           |
| Wetland area                             | 6.24    | 0.002   | 0.11               | -0.35       | -0.38     |
| $H'$ of aquatic macrophytes              | 8.51    | 0.001   | 0.13               | 0.41        | -0.02     |
| Dissolved oxygen                         | 4.45    | 0.07    | 0.06               | 0.10        | -0.42     |
| Suspended solids                         | 3.87    | 0.023   | 0.05               | -0.22       | 0.14      |
| Total phosphorus                         | 2.44    | 0.072   | 0.04               | 0.32        | -0.05     |
| Chemical oxygen demand                   | 3.80    | 0.026   | 0.04               | -0.07       | 0.08      |
| Density of aquatic macroinvertebrates    | 2.64    | 0.067   | 0.03               | 0.22        | 0.49      |
| Aquatic macroinvertebrates               |         |         |                    |             |           |
| Species richness of fish                 | 7.03    | 0.001   | 0.07               | -0.43       | -0.39     |
| Cover of aquatic macrophytes             | 5.87    | 0.001   | 0.05               | -0.32       | 0.42      |
| Conductivity                             | 3.39    | 0.002   | 0.03               | 0.44        | -0.04     |
| Water temperature                        | 2.78    | 0.006   | 0.03               | -0.29       | 0.08      |
| pH                                       | 2.12    | 0.034   | 0.01               | -0.03       | -0.04     |
| Dissolved oxygen                         | 1.87    | 0.047   | 0.02               | -0.38       | -0.18     |
| Species richness of aquatic macrophytes  | 1.86    | 0.038   | 0.02               | -0.17       | -0.01     |",lakes,,,lake,vegetation_cover,0.05,89.64041137695312,3.726231575012207,%,mis-interpretation
concordance of species composition patterns among microcrustaceans; rotifers and testate amoebae in a shallow pond,bini et al.,2007,490,"## 2. Methods



 
## 2.1. Study Area


The samples were gathered in Samambaia Lake (16¡35 ′ S, 49¡16 ′ W), which is a 33 years old pond, with an area of ca. 4 ha. Approximately, 10% of this area is covered by submerged aquatic plants (mainly Lindernia sp.). The average depth is about 3 m, with a maximum depth of 4.5 m. Since this pond is located inside the campus of the Federal University of Goiás (State of Goiás, Central Brazil), it is relatively protected from sewage drains and other impacts (BRANDÃO and KRAVCHENKO, 1997). Total P, nitrate  and  nitrate  concentrations  ranged  from  1  to  160 µ g/L,  0.99  to  710 µ g/L and 9 to 100.5 µ g/L, respectively, with median concentrations of 33 µ g/L, 83.9 µ g/L and 44.2 µ g/L (NOGUEIRA, 1999).




 
## 2.2. Sampling


Samples were gathered on August 2003 (dry period) and January 2004 (rainy period), on nine sites distributed along the major axis of the pond (Fig. 1). On each site, 1000 L of water were filtered over a 70 µ m zooplankton net, using a suction pump. Samples were fixed with 4% formaldehyde and concentrated to a standard volume of 500 mL.



Testate  amoebae,  microcrustaceans  and  rotifers  were  counted  in  a  Sedgwick-Rafter  counting  cell using a stereomicroscope and were expressed as individuals per liter.



The following abiotic variables were determined with a HORIBA U - 10 water quality meter: pH, dissolved oxygen, conductivity and water temperature. Water transparency (Secchi disk) and depth values were also recorded in all sites.",Samambaia Lake,,"Federal University of Goiás (State of Goiás, Central Brazil)",pond,vegetation_cover,10%,55.68790817260742,2.7845170497894287,%,valid
constructed treatment wetlands provide habitat for zooplankton communities in agricultural peat lake catchments,eivers; rebecca s.; duggan; ian c.; hamilton; david p.; quinn; john m.,2018,574,"## Table 5 SIMPER analysis showing the environmental variables contributing up to 70% of the variation among lake, CTW and drain habitats

| Variable                  | Drain | CTW  | Mean value of dissimilarity | Contribution % |
|---------------------------|-------|------|-----------------------------|----------------|
| Depth (m)                 | 0.22  | 0.90 | 3.64                        | 10.7           |
| NO₃-N (mg L⁻¹)            | 0.41  | 0.12 | 3.12                        | 9.2            |
| Conductivity (mS cm⁻¹)    | 0.197 | 0.254| 2.94                        | 8.7            |
| Chlorophyll a (µg L⁻¹)    | 6.57  | 27.55| 2.46                        | 7.3            |
| Org-N (mg L⁻¹)            | 2.37  | 3.18 | 2.19                        | 6.5            |
| NH₄-N (mg L⁻¹)            | 0.22  | 0.11 | 2.18                        | 6.4            |
| PO₄-P (mg L⁻¹)            | 0.01  | 0.24 | 2.14                        | 6.3            |
| Macrophytes (% cover)     | 65    | 34   | 2.10                        | 6.2            |
| Iron floc (P/A = 1/0)     | 0.9   | 0.5  | 2.01                        | 5.9            |
| **Mean dissimilarity = 33.90** |       |      |                             |                |
| Area (m²)                 | 108,000 | 237 | 5.93                        | 15.6           |
| pH                        | 6.84  | 5.09 | 5.39                        | 14.2           |
| Temperature (°C)          | 24.12 | 21.83| 2.58                        | 6.8            |
| Org-N (mg L⁻¹)            | 3.92  | 3.18 | 2.28                        | 6.0            |
| DO (mg L⁻¹)               | 6.72  | 3.92 | 2.25                        | 5.9            |
| Conductivity (mS cm⁻¹)    | 0.176 | 0.254| 2.20                        | 5.8            |
| Chlorophyll a (µg L⁻¹)    | 48.81 | 27.55| 2.14                        | 5.7            |
| NVSS (mg L⁻¹)             | 13.46 | 12.69| 2.05                        | 5.4            |
| **Mean dissimilarity = 37.91** |       |      |                             |                |
| Area (m²)                 | 10    | 108,000 | 10.30                      | 20.7           |
| Temperature (°C)          | 20.89 | 24.12 | 3.83                        | 7.7            |
| pH                        | 5.52  | 6.84  | 3.63                        | 7.3            |
| Chlorophyll a (µg L⁻¹)    | 6.57  | 48.81 | 3.62                        | 7.3            |
| Org-N (mg L⁻¹)            | 2.37  | 3.92  | 3.54                        | 7.1            |
| Macrophytes (% cover)     | 65    | 7     | 3.19                        | 6.4            |
| NH₄-N (mg L⁻¹)            | 0.22  | 0.04  | 2.88                        | 5.8            |
| Iron floc (P/A = 1/0)     | 0.9   | 0.2   | 2.83                        | 5.7            |
| **Mean dissimilarity = 50.00** |       |      |                             |                |",Drain,,,pond,vegetation_cover,65,44.13287353515625,1.8619089126586916,%,mis-interpretation
constructed treatment wetlands provide habitat for zooplankton communities in agricultural peat lake catchments,eivers; rebecca s.; duggan; ian c.; hamilton; david p.; quinn; john m.,2018,574,"## Table 5 SIMPER analysis showing the environmental variables contributing up to 70% of the variation among lake, CTW and drain habitats

| Variable                  | Drain | CTW  | Mean value of dissimilarity | Contribution % |
|---------------------------|-------|------|-----------------------------|----------------|
| Depth (m)                 | 0.22  | 0.90 | 3.64                        | 10.7           |
| NO₃-N (mg L⁻¹)            | 0.41  | 0.12 | 3.12                        | 9.2            |
| Conductivity (mS cm⁻¹)    | 0.197 | 0.254| 2.94                        | 8.7            |
| Chlorophyll a (µg L⁻¹)    | 6.57  | 27.55| 2.46                        | 7.3            |
| Org-N (mg L⁻¹)            | 2.37  | 3.18 | 2.19                        | 6.5            |
| NH₄-N (mg L⁻¹)            | 0.22  | 0.11 | 2.18                        | 6.4            |
| PO₄-P (mg L⁻¹)            | 0.01  | 0.24 | 2.14                        | 6.3            |
| Macrophytes (% cover)     | 65    | 34   | 2.10                        | 6.2            |
| Iron floc (P/A = 1/0)     | 0.9   | 0.5  | 2.01                        | 5.9            |
| **Mean dissimilarity = 33.90** |       |      |                             |                |
| Area (m²)                 | 108,000 | 237 | 5.93                        | 15.6           |
| pH                        | 6.84  | 5.09 | 5.39                        | 14.2           |
| Temperature (°C)          | 24.12 | 21.83| 2.58                        | 6.8            |
| Org-N (mg L⁻¹)            | 3.92  | 3.18 | 2.28                        | 6.0            |
| DO (mg L⁻¹)               | 6.72  | 3.92 | 2.25                        | 5.9            |
| Conductivity (mS cm⁻¹)    | 0.176 | 0.254| 2.20                        | 5.8            |
| Chlorophyll a (µg L⁻¹)    | 48.81 | 27.55| 2.14                        | 5.7            |
| NVSS (mg L⁻¹)             | 13.46 | 12.69| 2.05                        | 5.4            |
| **Mean dissimilarity = 37.91** |       |      |                             |                |
| Area (m²)                 | 10    | 108,000 | 10.30                      | 20.7           |
| Temperature (°C)          | 20.89 | 24.12 | 3.83                        | 7.7            |
| pH                        | 5.52  | 6.84  | 3.63                        | 7.3            |
| Chlorophyll a (µg L⁻¹)    | 6.57  | 48.81 | 3.62                        | 7.3            |
| Org-N (mg L⁻¹)            | 2.37  | 3.92  | 3.54                        | 7.1            |
| Macrophytes (% cover)     | 65    | 7     | 3.19                        | 6.4            |
| NH₄-N (mg L⁻¹)            | 0.22  | 0.04  | 2.88                        | 5.8            |
| Iron floc (P/A = 1/0)     | 0.9   | 0.2   | 2.83                        | 5.7            |
| **Mean dissimilarity = 50.00** |       |      |                             |                |",CTW,,,pond,vegetation_cover,65,42.990455627441406,1.859263896942139,%,mis-interpretation
agricultural freshwater pond supports diverse and dynamic bacterial and viral populations,chopyk et al.,2018,7,"## MATERIALS AND METHODS



 
## Study Site and Sample Collection


Ten-liter water samples were collected in October 2016, November 2016, and December 2016 from a temperate freshwater agricultural pond in central Maryland, United States (maximum depth of ca. 3.35 meters and a surface area of ca. 0.26 ha). A Honda WX10TA (32 GPM) water pump was used to collect water 15-30 cm below the surface into a sterile polypropylene carboy. Samples were kept in the dark at 4 GLYPH<14> C and processed within 24 h of collection. In addition, a ProDSS digital sampling system (YSI, Yellow Springs, OH, United States) was used to measure, in triplicate: the water temperature ( GLYPH<14> C), conductivity (SPC uS/cm), pH, dissolved oxygen (%), oxidation/reduction potential (mV), turbidity (FNU), nitrate (mg/L), and chloride (mg/L).",temperate freshwater agricultural pond,October 2016,"central Maryland, United States",pond,ph,7.9,78.90445709228516,3.716820478439331,,hallucination
aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,fontanarrosa,2013,76,"Sampling sites were located in one of the largest ( ≈ 80 ha) green spaces of the city, known as ' Parques de Palermo ' (Fig 1). This parkland is daily used as a recreational area and frequently is cleaned by the customary collection of garbage and lawn cutting. Four man-made permanent freshwater habitats were selected for the present study. These habitats were classified as ponds according to the following definitions: (a) water bodies between 1 m 2 and 2 ha in area, which may be permanent or seasonal, including both man-made and natural water bodies (Biggs et al 2005) and (b) a water body with a maximum depth of no more than 8 m, offering water plants the possibility to colonise almost the entire area of the pond (Oertli et al 2000). The main characteristics of the four studied ponds are summarised in Table 1. Water chemical values recorded on January 2004 were provided by the city authorities. These urban ponds are eutrophic, with differences on their chemical variables. P1, usually shadowing, showed the highest conductivity, chlorides, hardness and the lowest value of dissolved oxygen. Conversely, P4 was the most oxygenated may be due to the great photosynthetic activity, with the highest value of pH, total phosphorus and ammonium. In these ponds, no free-floating plant was observed and the removal of submerged vegetation by the park authorities was observed on each sample date. The surface water temperature of each water body was measured on every sample date with a digital thermometer. The surface areas of water bodies were calculated from aerial photographs provided by the Instituto Geográfico Militar (1998; scale 1:15,000) using GIS-Arc View 3.1.",P1,January 2004,Parques de Palermo,pond,ph,7.5,86.5702896118164,3.6319661140441895,,hallucination
aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,fontanarrosa,2013,76,"Sampling sites were located in one of the largest ( ≈ 80 ha) green spaces of the city, known as ' Parques de Palermo ' (Fig 1). This parkland is daily used as a recreational area and frequently is cleaned by the customary collection of garbage and lawn cutting. Four man-made permanent freshwater habitats were selected for the present study. These habitats were classified as ponds according to the following definitions: (a) water bodies between 1 m 2 and 2 ha in area, which may be permanent or seasonal, including both man-made and natural water bodies (Biggs et al 2005) and (b) a water body with a maximum depth of no more than 8 m, offering water plants the possibility to colonise almost the entire area of the pond (Oertli et al 2000). The main characteristics of the four studied ponds are summarised in Table 1. Water chemical values recorded on January 2004 were provided by the city authorities. These urban ponds are eutrophic, with differences on their chemical variables. P1, usually shadowing, showed the highest conductivity, chlorides, hardness and the lowest value of dissolved oxygen. Conversely, P4 was the most oxygenated may be due to the great photosynthetic activity, with the highest value of pH, total phosphorus and ammonium. In these ponds, no free-floating plant was observed and the removal of submerged vegetation by the park authorities was observed on each sample date. The surface water temperature of each water body was measured on every sample date with a digital thermometer. The surface areas of water bodies were calculated from aerial photographs provided by the Instituto Geográfico Militar (1998; scale 1:15,000) using GIS-Arc View 3.1.",P4,January 2004,Parques de Palermo,pond,ph,7.8,82.58076477050781,3.6843008995056152,,hallucination
aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,fontanarrosa,2013,76,"Sampling sites were located in one of the largest ( ≈ 80 ha) green spaces of the city, known as ' Parques de Palermo ' (Fig 1). This parkland is daily used as a recreational area and frequently is cleaned by the customary collection of garbage and lawn cutting. Four man-made permanent freshwater habitats were selected for the present study. These habitats were classified as ponds according to the following definitions: (a) water bodies between 1 m 2 and 2 ha in area, which may be permanent or seasonal, including both man-made and natural water bodies (Biggs et al 2005) and (b) a water body with a maximum depth of no more than 8 m, offering water plants the possibility to colonise almost the entire area of the pond (Oertli et al 2000). The main characteristics of the four studied ponds are summarised in Table 1. Water chemical values recorded on January 2004 were provided by the city authorities. These urban ponds are eutrophic, with differences on their chemical variables. P1, usually shadowing, showed the highest conductivity, chlorides, hardness and the lowest value of dissolved oxygen. Conversely, P4 was the most oxygenated may be due to the great photosynthetic activity, with the highest value of pH, total phosphorus and ammonium. In these ponds, no free-floating plant was observed and the removal of submerged vegetation by the park authorities was observed on each sample date. The surface water temperature of each water body was measured on every sample date with a digital thermometer. The surface areas of water bodies were calculated from aerial photographs provided by the Instituto Geográfico Militar (1998; scale 1:15,000) using GIS-Arc View 3.1.",Ponds,,Parques de Palermo,pond,ph,7.8,88.37480926513672,3.655303716659546,,hallucination
assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,2018,106,"et al., 2004; Kasprzak, 1993; Koschel, 1995; Richter, 1997; Succow & Jeschke, 1986), and CH4 and CO2 cycle (Casper et al., 2003; Chan, Wolf, Hepperle, & Casper, 2002; Conrad, Claus, & Casper, 2010), among others. The two most contrasting basins, namely south -west basin (SW) (characterised by a low pH of 4.4 and DOC of 37.3 mg / L) and the north -east basin (NE) (with a pH of 6.5 and DOC of 16.4 mg / L), were selected for this study (Figure 1). The main limnological characteristics of the original lake, NE and SW basins are summarised in Table 1. The catchment areas draining the eastern basins provided mainly inflow, while the catchment area adjacent to the western basins was only outflow (Figure 1). Generally, Lake Grosse Fuchskuhle is stratified during the summer stagnation period, and anoxic hypolimnia are usually found in all basins from May to September or October (Casper et al., 2003). Both basins were sampled monthly over 1 year from August 2014 to July 2015. All measurements were made during daylight hours between 9:00 hr and 14:00 hr CEST.",Lake Grosse Fuchskuhle,August 2014 - July 2015,,lake,ph,6.5,84.2464370727539,3.706061840057373,,mis-interpretation
assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,2018,106,"et al., 2004; Kasprzak, 1993; Koschel, 1995; Richter, 1997; Succow & Jeschke, 1986), and CH4 and CO2 cycle (Casper et al., 2003; Chan, Wolf, Hepperle, & Casper, 2002; Conrad, Claus, & Casper, 2010), among others. The two most contrasting basins, namely south -west basin (SW) (characterised by a low pH of 4.4 and DOC of 37.3 mg / L) and the north -east basin (NE) (with a pH of 6.5 and DOC of 16.4 mg / L), were selected for this study (Figure 1). The main limnological characteristics of the original lake, NE and SW basins are summarised in Table 1. The catchment areas draining the eastern basins provided mainly inflow, while the catchment area adjacent to the western basins was only outflow (Figure 1). Generally, Lake Grosse Fuchskuhle is stratified during the summer stagnation period, and anoxic hypolimnia are usually found in all basins from May to September or October (Casper et al., 2003). Both basins were sampled monthly over 1 year from August 2014 to July 2015. All measurements were made during daylight hours between 9:00 hr and 14:00 hr CEST.",south-west basin,August 2014 - July 2015,,lake,ph,4.4,79.2340087890625,3.653031349182129,,valid
assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,2018,106,"et al., 2004; Kasprzak, 1993; Koschel, 1995; Richter, 1997; Succow & Jeschke, 1986), and CH4 and CO2 cycle (Casper et al., 2003; Chan, Wolf, Hepperle, & Casper, 2002; Conrad, Claus, & Casper, 2010), among others. The two most contrasting basins, namely south -west basin (SW) (characterised by a low pH of 4.4 and DOC of 37.3 mg / L) and the north -east basin (NE) (with a pH of 6.5 and DOC of 16.4 mg / L), were selected for this study (Figure 1). The main limnological characteristics of the original lake, NE and SW basins are summarised in Table 1. The catchment areas draining the eastern basins provided mainly inflow, while the catchment area adjacent to the western basins was only outflow (Figure 1). Generally, Lake Grosse Fuchskuhle is stratified during the summer stagnation period, and anoxic hypolimnia are usually found in all basins from May to September or October (Casper et al., 2003). Both basins were sampled monthly over 1 year from August 2014 to July 2015. All measurements were made during daylight hours between 9:00 hr and 14:00 hr CEST.",north-east basin,August 2014 - July 2015,,lake,ph,6.5,81.90642547607422,3.664415836334229,,valid
assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,2018,119,"Patterns of dissolved CO2 concentration in the water column differed from those of dissolved CH4 (Figure 4). Mean dissolved CO2 concentrations across both basins were estimated as 5.40 ± 3.73 mg CO2 / L (mean ± SD y ; pooled basins average) during mixing period, and 11.63 ± 7.66 mg CO2 / L (mean ± SD y ; pooled basins average) during the two stratification periods.



During the fall turnover, CO2 concentration in the water column increased significantly (FT, p < 0.05), with the highest concentration found in deeper water (NE: 18.84 ± 4.23 mg CO2 / L; SW: 16.77 ± 2.13 mg CO2 / L; mean ± SD y), suggesting a higher supply of CO2 to the water column from the sediments. Between February 2015 and March 2015, CO2 concentration increased again in the water column (Figure 4; NE: 7.78 ± 5.54 mg CO2 / L; SW: 7.22 ± 1.98 mg CO2 / L; mean ± SD y ).



Following the fall turnover, the additional CO2 was removed from the water columns of both basins. The next substantial increase in CO2 occurred in June 2015, which was again removed in July 2015. The loss of CO2 may have been a result of re -equilibration of the inorganic species, driven by increased photosynthesis and pushing all the water column to increase the pH from June 2015 to July



|",NE basin,June 2015,,lake,ph,7.45,93.45675659179688,3.645316362380981,,hallucination
assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,2018,119,"Patterns of dissolved CO2 concentration in the water column differed from those of dissolved CH4 (Figure 4). Mean dissolved CO2 concentrations across both basins were estimated as 5.40 ± 3.73 mg CO2 / L (mean ± SD y ; pooled basins average) during mixing period, and 11.63 ± 7.66 mg CO2 / L (mean ± SD y ; pooled basins average) during the two stratification periods.



During the fall turnover, CO2 concentration in the water column increased significantly (FT, p < 0.05), with the highest concentration found in deeper water (NE: 18.84 ± 4.23 mg CO2 / L; SW: 16.77 ± 2.13 mg CO2 / L; mean ± SD y), suggesting a higher supply of CO2 to the water column from the sediments. Between February 2015 and March 2015, CO2 concentration increased again in the water column (Figure 4; NE: 7.78 ± 5.54 mg CO2 / L; SW: 7.22 ± 1.98 mg CO2 / L; mean ± SD y ).



Following the fall turnover, the additional CO2 was removed from the water columns of both basins. The next substantial increase in CO2 occurred in June 2015, which was again removed in July 2015. The loss of CO2 may have been a result of re -equilibration of the inorganic species, driven by increased photosynthesis and pushing all the water column to increase the pH from June 2015 to July



|",SW basin,June 2015,,lake,ph,7.45,93.99562072753906,3.669466733932495,,hallucination
bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,2017,158,"## Physico-chemical analysis


Water temperatures were lowest in February (4.1-5.8 °C), highest in June (14.1-18.8 °C) and intermediate in October



(5.4-7.8). Oxygen   (O 2 ) concentrations were lowest in early summer when some kettle holes showed suboxic to anoxic conditions  (see  Supp.  1),  but  pH  exhibited  no  clear  trend with higher or lower values throughout the sampling period (7.9  ±  1; mean  ±  standard deviation).



POM was highest, but also most variable in June ranging from 3.0 to 58.6 mg L -1 . DOC concentrations covered a huge range from 9.7 up to 42.3 mg L -1 (Fig. 1c) and varied extensively between different kettle holes and sampling dates.  From  February  to  June,  DOC  increased  in  almost all kettle holes, on average by 76%. This trend changed in October when DOC dropped back to values more similar to  February (Fig. 1c). TDN increased during the growing season from February to October and ranged between 0.7 and 7.5 mg   L -1 across all sampling dates and kettle holes (Fig. 1d). The trend differed for TDP which showed generally  higher  values  in  June  as  compared  to  October  (range from 18 to 1674 µg L -1 over all sampling dates and kettle holes; Fig. 1e). The highest variations of TDP in all kettle holes occurred in June when the highest value was measured. All measured nutrients (DOC, TDN, and TDP) were significantly  different  between  the  three  sampling  dates (Table 4) indicating a generally high temporal variability in kettle hole nutrient dynamics.



The  DOC  quality  parameters  were  significantly  different  at  the  three  sampling  dates.  SUVA254,  the  proxy",kettle holes,February,,wetland,ph,7.9,89.28987121582031,3.7485408782958975,,mis-interpretation
